"","sell_soap","cheapest_price_for_100g_soap_bar_of_soap","days_of_stock_of_soap","restocking_time_of_soap","items_are_most_affected.soap","round"
"1","yes",30,30,0,NA,"round_1"
"2","no",NA,NA,NA,NA,"round_1"
"3","yes",20,0,0,1,"round_1"
"4","no",NA,NA,NA,NA,"round_1"
"5","yes",20,20,2,NA,"round_1"
"6","yes",40,12,2,NA,"round_1"
"7","no",NA,NA,NA,NA,"round_1"
"8","yes",10,40,1,NA,"round_1"
"9","no",NA,NA,NA,NA,"round_1"
"10","no",NA,NA,NA,NA,"round_1"
"11","no",NA,NA,NA,NA,"round_1"
"12","yes",30,30,0,NA,"round_1"
"13","yes",30,4,0,0,"round_1"
"14","no",NA,NA,NA,0,"round_1"
"15","no",NA,NA,NA,NA,"round_1"
"16","no",NA,NA,NA,NA,"round_1"
"17","no",NA,NA,NA,NA,"round_1"
"18","no",NA,NA,NA,NA,"round_1"
"19","yes",15,30,0,NA,"round_2"
"20","yes",10,5,0,NA,"round_2"
"21","yes",30,7,0,1,"round_2"
"22","yes",15,30,0,0,"round_2"
"23","no",NA,NA,NA,0,"round_2"
"24","no",NA,NA,NA,0,"round_2"
"25","yes",30,30,1,0,"round_2"
"26","no",NA,NA,NA,0,"round_2"
"27","no",NA,NA,NA,0,"round_2"
"28","yes",30,30,2,0,"round_2"
"29","no",NA,NA,NA,0,"round_2"
"30","no",NA,NA,NA,0,"round_2"
"31","no",NA,NA,NA,0,"round_2"
"32","yes",15,15,0,0,"round_2"
"33","no",NA,NA,NA,0,"round_2"
"34","yes",20,20,0,0,"round_2"
"35","no",NA,NA,NA,NA,"round_2"
"36","no",NA,NA,NA,0,"round_2"
"37","no",NA,NA,NA,0,"round_2"
"38","yes",16,30,2,0,"round_2"
"39","yes",25,10,2,0,"round_2"
"40","",NA,NA,NA,NA,"round_3"
"41","",NA,NA,NA,NA,"round_3"
"42","dontknow",NA,NA,NA,0,"round_3"
"43","yes",25,7,1,NA,"round_3"
"44","yes",25,7,1,0,"round_3"
"45","no",NA,NA,NA,NA,"round_3"
"46","no",NA,NA,NA,NA,"round_3"
"47","yes",30,15,0,NA,"round_3"
"48","no",NA,NA,NA,NA,"round_3"
"49","yes",20,10,0,NA,"round_3"
"50","no",NA,NA,NA,0,"round_3"
"51","no",NA,NA,NA,NA,"round_3"
"52","no",NA,NA,NA,0,"round_3"
"53","no",NA,NA,NA,NA,"round_3"
"54","no",NA,NA,NA,0,"round_3"
"55","no",NA,NA,NA,0,"round_3"
"56","yes",22,15,2,NA,"round_3"
"57","no",NA,NA,NA,0,"round_3"
"58","no",NA,NA,NA,NA,"round_3"
"59","no",NA,NA,NA,0,"round_3"
"60","yes",25,30,2,NA,"round_4"
"61","no",NA,NA,NA,0,"round_4"
"62","yes",20,10,0,NA,"round_4"
"63","no",NA,NA,NA,NA,"round_4"
"64","no",NA,NA,NA,0,"round_4"
"65","no",NA,NA,NA,NA,"round_4"
"66","no",NA,NA,NA,NA,"round_4"
"67","yes",28,15,1,0,"round_4"
"68","no",NA,NA,NA,0,"round_4"
"69","no",NA,NA,NA,NA,"round_4"
"70","no",NA,NA,NA,NA,"round_4"
"71","yes",28,15,4,0,"round_4"
"72","no",NA,NA,NA,NA,"round_4"
"73","yes",25,7,1,NA,"round_4"
"74","no",NA,NA,NA,NA,"round_4"
"75","no",NA,NA,NA,NA,"round_4"
"76","no",NA,NA,NA,NA,"round_4"
"77","no",NA,NA,NA,NA,"round_4"
"78","no",NA,NA,NA,NA,"round_4"
"79","no",NA,NA,NA,NA,"round_4"
